EmpID,FirstName,LastName,FullName,ADEmail,StartDate,ExitDate,EmployeeStatus,IsActive,AttritionFlag,TenureDays,SameDayTermination,Age,Title,BusinessUnit,DepartmentType,Division,EmployeeType,PayZone,TerminationType,DOB,GenderCode,RaceDesc,LocationCode
3427,Uriah,Bridges,Uriah_Bridges,uriah.bridges@bilearner.com,2021-12-20,,Active,True,0,1437,False,56.1,Production Technician I,CCDR,Production,Finance & Accounting,Contract,Zone C,Unk,1969-10-07,Female,White,34904
3428,Paula,Small,Paula_Small,paula.small@bilearner.com,2025-05-11,,Active,True,0,199,False,60.2,Production Technician I,EW,Production,Aerial,Contract,Zone A,Unk,1965-08-30,Male,Hispanic,6593
3429,Edward,Buck,Edward_Buck,edward.buck@bilearner.com,2021-03-10,,Active,True,0,1722,False,34.1,Area Sales Manager,PL,Sales,General - Sga,Full-Time,Zone B,Unk,1991-10-06,Male,Hispanic,2330
3430,Michael,Riordan,Michael_Riordan,michael.riordan@bilearner.com,2023-09-21,,Active,True,0,797,False,27.6,Area Sales Manager,CCDR,Sales,Finance & Accounting,Contract,Zone A,Unk,1998-04-04,Male,Other,58782
3431,Jasmine,Onque,Jasmine_Onque,jasmine.onque@bilearner.com,2021-09-29,,Active,True,0,1519,False,56.2,Area Sales Manager,TNS,Sales,General - Con,Contract,Zone A,Unk,1969-08-29,Female,Other,33174
3434,Sharlene,Terry,Sharlene_Terry,sharlene.terry@bilearner.com,2023-02-06,2025-04-29,Terminated for Cause,False,1,813,False,68.7,Area Sales Manager,CCDR,Sales,Engineers,Contract,Zone C,Involuntary,1957-03-07,Female,White,97756
3435,Jac,McKinzie,Jac_McKinzie,jac.mckinzie@bilearner.com,2020-11-18,,Active,True,0,1834,False,51.5,Area Sales Manager,NEL,Sales,Executive,Contract,Zone B,Unk,1974-05-15,Male,Black,78789
3437,Myriam,Givens,Myriam_Givens,myriam.givens@bilearner.com,2025-11-04,,Active,True,0,22,False,61.8,Area Sales Manager,SVG,Sales,Field Operations,Contract,Zone B,Unk,1964-01-26,Female,Other,46204
3439,Bartholemew,Khemmich,Bartholemew_Khemmich,bartholemew.khemmich@bilearner.com,2024-08-25,2025-02-27,Terminated for Cause,False,1,186,False,44.0,Area Sales Manager,EW,Sales,Splicing,Full-Time,Zone A,Involuntary,1981-11-24,Male,Other,80820
3441,Prater,Jeremy,Prater_Jeremy,prater.jeremy@bilearner.com,2021-07-28,,Active,True,0,1582,False,36.0,Area Sales Manager,BPC,Sales,General - Con,Part-Time,Zone A,Unk,1989-11-21,Male,Asian,89139
3443,Kristen,Tate,Kristen_Tate,kristen.tate@bilearner.com,2023-07-05,2025-08-12,Voluntarily Terminated,False,1,769,False,31.6,Area Sales Manager,WBL,IT/IS,Project Management - Con,Full-Time,Zone C,Voluntary,1994-04-08,Male,Asian,2621
3444,Bobby,Rodgers,Bobby_Rodgers,bobby.rodgers@bilearner.com,2024-02-28,2024-05-04,Voluntarily Terminated,False,1,66,False,42.0,Area Sales Manager,NEL,Sales,Engineers,Contract,Zone A,Voluntary,1983-11-15,Male,Other,44553
3445,Reid,Park,Reid_Park,reid.park@bilearner.com,2023-04-16,,Active,True,0,955,False,40.0,Area Sales Manager,PL,Sales,Project Management - Con,Contract,Zone C,Unk,1985-12-07,Female,Other,5360
3446,Hector,Dalton,Hector_Dalton,hector.dalton@bilearner.com,2023-11-24,,Active,True,0,733,False,29.6,Area Sales Manager,BPC,Sales,Field Operations,Part-Time,Zone A,Unk,1996-05-01,Female,White,16325
3447,Mariela,Schultz,Mariela_Schultz,mariela.schultz@bilearner.com,2022-08-26,2025-09-18,Terminated for Cause,False,1,1119,False,61.8,Area Sales Manager,CCDR,Sales,General - Con,Part-Time,Zone C,Involuntary,1964-02-17,Female,Asian,43481
3448,Angela,Molina,Angela_Molina,angela.molina@bilearner.com,2022-01-01,2023-02-06,Retired,False,1,401,False,67.5,Area Sales Manager,SVG,Sales,Engineers,Full-Time,Zone A,Retirement,1958-05-12,Male,Asian,50705
3449,Gerald,Preston,Gerald_Preston,gerald.preston@bilearner.com,2025-08-10,2025-08-27,Terminated for Cause,False,1,17,False,33.2,Area Sales Manager,EW,Sales,General - Eng,Contract,Zone B,Involuntary,1992-09-18,Male,Black,5168
3450,Reilly,Moyer,Reilly_Moyer,reilly.moyer@bilearner.com,2022-12-01,2025-03-04,Voluntarily Terminated,False,1,824,False,31.3,Area Sales Manager,MSC,Sales,Field Operations,Contract,Zone C,Resignation,1994-08-11,Male,Other,11765
3451,Carlee,French,Carlee_French,carlee.french@bilearner.com,2023-05-18,2025-02-11,Voluntarily Terminated,False,1,635,False,57.9,Area Sales Manager,TNS,Sales,General - Con,Contract,Zone C,Voluntary,1968-01-15,Male,Other,71071
3453,Bridger,Carter,Bridger_Carter,bridger.carter@bilearner.com,2025-01-13,,Active,True,0,317,False,43.6,Area Sales Manager,WBL,Sales,Fielders,Contract,Zone C,Unk,1982-04-07,Male,White,87065
3454,Leon,Beard,Leon_Beard,leon.beard@bilearner.com,2024-12-11,,Active,True,0,350,False,55.8,Area Sales Manager,PYZ,IT/IS,General - Con,Full-Time,Zone C,Unk,1970-01-29,Male,Hispanic,10415
3455,Charity,Miranda,Charity_Miranda,charity.miranda@bilearner.com,2023-09-29,2024-10-05,Voluntarily Terminated,False,1,372,False,26.9,Area Sales Manager,WBL,Sales,Project Management - Eng,Full-Time,Zone C,Resignation,1999-01-18,Male,Other,3763
3458,Cory,Robinson,Cory_Robinson,cory.robinson@bilearner.com,2024-07-28,2025-08-24,Voluntarily Terminated,False,1,392,False,29.3,Area Sales Manager,BPC,Sales,Field Operations,Contract,Zone A,Voluntary,1996-08-12,Female,Hispanic,5194
3461,Lincoln,Compton,Lincoln_Compton,lincoln.compton@bilearner.com,2021-10-18,2024-01-01,Voluntarily Terminated,False,1,805,False,27.9,Area Sales Manager,EW,Sales,General - Con,Full-Time,Zone C,Resignation,1997-12-29,Male,Hispanic,78046
3464,James,Duke,James_Duke,james.duke@bilearner.com,2021-03-03,2024-12-09,Terminated for Cause,False,1,1377,False,27.4,Area Sales Manager,PYZ,Sales,Shop (Fleet),Contract,Zone B,Involuntary,1998-06-17,Male,Black,66835
3465,Willow,Stuart,Willow_Stuart,willow.stuart@bilearner.com,2024-02-08,,Active,True,0,657,False,63.9,Area Sales Manager,WBL,Sales,General - Con,Full-Time,Zone B,Unk,1962-01-07,Male,Asian,66150
3466,Clayton,Walker,Clayton_Walker,clayton.walker@bilearner.com,2024-07-13,2025-07-10,Retired,False,1,362,False,46.8,Area Sales Manager,PYZ,IT/IS,Aerial,Part-Time,Zone C,Retirement,1979-01-26,Male,Other,64288
3467,Celia,Curtis,Celia_Curtis,celia.curtis@bilearner.com,2022-08-06,,Active,True,0,1208,False,38.5,Area Sales Manager,WBL,Sales,Fielders,Contract,Zone A,Unk,1987-05-14,Female,Asian,94333
3468,Valentin,Reilly,Valentin_Reilly,valentin.reilly@bilearner.com,2021-12-09,,Active,True,0,1448,False,27.6,Area Sales Manager,NEL,Sales,Wireline Construction,Contract,Zone B,Unk,1998-04-26,Female,Black,45453
3470,Esteban,Gilbert,Esteban_Gilbert,esteban.gilbert@bilearner.com,2021-02-14,2022-01-28,Retired,False,1,348,False,28.5,Area Sales Manager,BPC,Sales,Field Operations,Contract,Zone C,Retirement,1997-05-31,Female,Black,12491
3471,Jonathan,Adkins,Jonathan_Adkins,jonathan.adkins@bilearner.com,2022-05-29,,Active,True,0,1277,False,58.9,Area Sales Manager,CCDR,Sales,Field Operations,Part-Time,Zone C,Unk,1967-01-03,Male,Asian,64350
3472,Nevaeh,Soto,Nevaeh_Soto,nevaeh.soto@bilearner.com,2025-04-15,,Active,True,0,225,False,43.9,Area Sales Manager,SVG,Sales,Project Management - Con,Contract,Zone C,Unk,1982-01-12,Male,Other,74124
